Country,Code,Date,Amount
Dominican Republic,DOM,2009.0,0.053
Denmark,DNK,2009.0,0.051
Costa Rica,CRI,2009.0,0.05
Chile,CHL,2009.0,0.034
Kiribati,KIR,2009.0,0.033
Brazil,BRA,2009.0,0.032
Colombia,COL,2009.0,0.03
Japan,JPN,2009.0,0.027999999999999997
Marshall Islands,MHL,2009.0,0.027000000000000003
Venezuela,VEN,2009.0,0.026000000000000002
Portugal,PRT,2009.0,0.022000000000000002
Saint Lucia,LCA,2009.0,0.02
Iceland,ISL,2009.0,0.019
Malta,MLT,2009.0,0.016
Tonga,TON,2009.0,0.013999999999999999
Tunisia,TUN,2009.0,0.012
Jamaica,JAM,2009.0,0.011000000000000001
Maldives,MDV,2009.0,0.01
Saint Kitts and Nevis,KNA,2009.0,0.01
Saint Vincent and the Grenadines,VCT,2009.0,0.009000000000000001
El Salvador,SLV,2009.0,0.004
Rwanda,RWA,2009.0,0.004
Burundi,BDI,2009.0,0.004
Samoa,WSM,2009.0,0.002
Cuba,CUB,2009.0,0.001
Haiti,HTI,2009.0,0.0
American Samoa,ASM,,
"Bahamas, The",BHM,2009.0,0.386
Bermuda,BMU,,
Cabo Verde,CPV,,
"Congo, Democratic Republic of the",COD,2009.0,0.948
"Congo, Republic of the",COG,,
Cote d'Ivoire,CIV,,
Curacao,CUW,,
Falkland Islands (Islas Malvinas),FLK,,
Faroe Islands,FRO,,
French Polynesia,PYF,,
"Gambia, The",GMB,,
Greenland,GRL,,
Guam,GUM,,
Guernsey,GGY,,
Hong Kong,HKG,,
Isle of Man,IMN,,
Jersey,JEY,,
"Korea, North",PRK,,
"Korea, South",KOR,2009.0,0.003
Kosovo,KSV,,
Macau,MAC,,
Macedonia,MKD,,
"Micronesia, Federated States of",FSM,,
Montenegro,MNE,,
New Caledonia,NCL,,
Northern Mariana Islands,MNP,,
Puerto Rico,PRI,,
Saint Martin,MAF,,
Saint Pierre and Miquelon,SPM,,
Sint Maarten,SXM,,
South Sudan,SSD,,
Taiwan,TWN,,
Timor-Leste,TLS,,
Virgin Islands,VGB,,
West Bank,WBG,,
